mom.id,infant.sex,inf.dob,unit,ibi.num,ibi.adj,ibi.censored,year,mom.dob,mom.age,mom.z,mom.z.2,parity,age.cat,takeover
Gelada_44,F,11/22/18,K,605,204,0,2018,3/11/07,11.7,0.28,0.08,Multiparous,Mid,0
Gelada_19,M,2/26/14,A,622,221,1,2014,11/3/03,10.32,-0.09,0.01,Multiparous,Mid,1
Gelada_8,M,2/18/14,M2,626,225,1,2014,11/4/02,11.29,0.17,0.03,Multiparous,Mid,0
Gelada_24,M,1/8/09,M,632,231,1,2009,1/1/98,11.02,0.1,0.01,Multiparous,Mid,1
Gelada_66,M,3/31/07,Z,633,232,1,2007,6/7/91,11.81,0.3,0.09,Multiparous,Mid,0
Gelada_100,F,1/14/09,D,637,236,1,2009,5/1/97,11.71,0.28,0.08,Multiparous,Mid,0
Gelada_16,M,9/11/21,M1,642,241,0,2021,2/25/14,7.54,-0.82,0.68,Primiparous,Mid,0
Gelada_211,M,9/11/21,V,642,241,0,2021,1/29/12,9.62,-0.27,0.08,Multiparous,Mid,0
Gelada_10,F,11/15/13,Z,653,252,1,2013,6/15/04,9.42,-0.33,0.11,Multiparous,Mid,1
Gelada_219,M,7/30/15,N,657,256,1,2015,9/1/05,9.91,-0.2,0.04,Multiparous,Mid,1
Gelada_10,M,9/15/15,Z5,661,260,1,2015,6/15/04,11.25,0.16,0.02,Multiparous,Mid,0
Gelada_388,F,7/24/19,A,662,261,0,2019,9/11/10,8.87,-0.47,0.22,Multiparous,Mid,0
Gelada_44,F,11/21/14,K,675,274,1,2014,3/11/07,7.7,-0.78,0.61,Multiparous,Mid,0
Gelada_81,M,2/23/14,C4,677,276,1,2014,12/1/05,8.23,-0.64,0.41,Multiparous,Mid,0
Gelada_179,F,1/29/12,V,680,279,1,2012,12/1/01,10.16,-0.13,0.02,Multiparous,Mid,0
Gelada_168,F,10/2/09,Z,681,280,1,2009,3/26/01,8.52,-0.57,0.32,Multiparous,Mid,0
Gelada_143,F,12/16/17,T,699,298,0,2017,6/18/07,10.5,-0.04,0,Multiparous,Mid,0
Gelada_179,M,1/25/10,V,718,317,1,2010,12/1/01,8.15,-0.66,0.44,Multiparous,Mid,1
Gelada_80,M,8/14/07,L,723,322,1,2007,1/4/96,11.61,0.25,0.06,Multiparous,Mid,0
Gelada_91,M,5/8/06,M,730,329,1,2006,8/11/93,8.74,-0.51,0.26,Multiparous,Mid,0
Gelada_216,M,10/1/09,H,737,336,1,2009,2/5/94,11.65,0.26,0.07,Multiparous,Mid,0
Gelada_122,F,9/3/09,D,745,344,1,2009,2/16/01,8.54,-0.56,0.31,Multiparous,Mid,0
Gelada_137,F,8/7/12,M2,748,347,1,2012,10/24/02,9.79,-0.23,0.05,Multiparous,Mid,1
Gelada_213,M,5/15/14,Q,748,347,1,2014,11/11/02,11.51,0.22,0.05,Multiparous,Mid,0
Gelada_27,M,10/29/12,M1,754,353,1,2012,12/15/04,7.87,-0.74,0.54,Multiparous,Mid,0
Gelada_44,F,10/12/16,K,755,354,1,2016,3/11/07,9.59,-0.28,0.08,Multiparous,Mid,0
Gelada_168,F,8/30/11,Z,763,362,1,2011,3/26/01,10.43,-0.06,0,Multiparous,Mid,0
Gelada_6,M,9/26/15,Z3,764,363,1,2015,7/2/07,8.24,-0.64,0.41,Primiparous,Mid,0
Gelada_7,M,12/28/11,A,785,384,1,2011,10/12/01,10.21,-0.12,0.01,Multiparous,Mid,1
Gelada_26,F,4/27/13,T,797,396,1,2013,6/4/02,10.9,0.06,0,Multiparous,Mid,0
Gelada_233,F,6/17/16,M1,799,398,1,2016,12/15/04,11.5,0.22,0.05,Multiparous,Mid,0
Gelada_165,M,10/30/13,C4,801,400,1,2013,2/17/04,9.7,-0.25,0.06,Multiparous,Mid,1
Gelada_42,M,7/14/13,G,807,406,1,2013,7/18/01,11.99,0.35,0.12,Multiparous,Mid,0
Gelada_15,M,7/14/07,H,808,407,1,2007,2/5/94,9.43,-0.32,0.11,Multiparous,Mid,1
Gelada_165,F,1/25/16,C5,815,414,1,2016,2/17/04,11.94,0.34,0.11,Multiparous,Mid,0
Gelada_322,M,6/19/08,L,815,414,1,2008,2/5/94,10.37,-0.08,0.01,Multiparous,Mid,0
Gelada_105,M,2/21/19,T2,815,414,0,2019,8/5/09,9.55,-0.29,0.09,Multiparous,Mid,0
Gelada_77,F,7/16/10,B,817,416,1,2010,9/9/98,11.85,0.31,0.1,Multiparous,Mid,0
Gelada_158,M,7/4/07,G,817,416,1,2007,8/12/91,11.89,0.33,0.11,Multiparous,Mid,0
Gelada_227,F,12/4/06,H,825,424,1,2006,2/6/91,11.82,0.31,0.09,Multiparous,Mid,1
Gelada_130,F,5/23/19,M1,826,425,1,2019,2/1/09,10.3,-0.09,0.01,Multiparous,Mid,0
Gelada_85,F,1/1/07,H,831,430,1,2007,2/5/94,8.9,-0.46,0.22,Multiparous,Mid,1
Gelada_116,M,9/29/13,A,832,431,1,2013,5/30/04,9.33,-0.35,0.12,Multiparous,Mid,1
Gelada_48,M,6/11/12,V,834,433,1,2012,2/14/05,7.32,-0.88,0.78,Primiparous,Mid,0
Gelada_137,F,9/10/14,M2,837,436,1,2014,10/24/02,11.88,0.32,0.1,Multiparous,Mid,0
Gelada_93,F,10/13/09,V,848,447,1,2009,2/1/99,10.7,0.01,0,Multiparous,Mid,1
Gelada_183,M,8/8/09,V,848,447,1,2009,3/1/01,8.44,-0.59,0.34,Multiparous,Mid,1
Gelada_31,F,6/13/14,C3,851,450,1,2014,7/28/06,7.88,-0.73,0.54,Multiparous,Mid,0
Gelada_24,M,8/20/06,M,856,455,1,2006,1/1/98,8.63,-0.54,0.29,Multiparous,Mid,1
Gelada_84,M,9/18/11,Z,865,464,0,2011,11/6/02,8.87,-0.47,0.22,Multiparous,Mid,0
Gelada_19,F,9/25/11,A,869,468,1,2011,11/3/03,7.89,-0.73,0.54,Multiparous,Mid,1
Gelada_360,M,9/22/17,A,877,476,1,2017,2/8/10,7.62,-0.8,0.65,Multiparous,Mid,0
Gelada_99,F,10/30/07,B,879,478,1,2007,12/1/98,8.91,-0.46,0.21,Multiparous,Mid,1
Gelada_26,F,11/14/10,T,879,478,1,2010,6/4/02,8.45,-0.58,0.34,Multiparous,Mid,1
Gelada_46,M,4/22/07,Z,881,480,1,2007,1/1/97,10.3,-0.09,0.01,Multiparous,Mid,0
Gelada_36,F,4/27/16,C5,887,486,1,2016,6/15/05,10.87,0.06,0,Multiparous,Mid,0
Gelada_152,F,6/2/17,N,892,491,1,2017,6/15/08,8.96,-0.45,0.2,Multiparous,Mid,0
Gelada_170,F,4/15/17,A,897,496,1,2017,2/16/08,9.16,-0.4,0.16,Multiparous,Mid,0
Gelada_27,M,12/8/14,M1,899,498,1,2014,12/15/04,9.98,-0.18,0.03,Multiparous,Mid,0
Gelada_233,F,12/11/13,M1,903,502,1,2013,12/15/04,8.99,-0.44,0.19,Multiparous,Mid,0
Gelada_145,F,5/25/14,B1,921,520,1,2014,12/1/05,8.48,-0.58,0.33,Multiparous,Mid,1
Gelada_76,F,3/22/18,V,923,522,1,2018,3/11/07,11.03,0.1,0.01,Multiparous,Mid,0
Gelada_103,F,12/5/06,R,929,528,1,2006,2/5/94,8.83,-0.48,0.23,Multiparous,Mid,0
Gelada_176,F,3/28/13,J,934,533,1,2013,5/1/01,11.91,0.33,0.11,Multiparous,Mid,1
Gelada_81,M,1/17/16,C5,936,535,0,2016,12/1/05,10.13,-0.14,0.02,Multiparous,Mid,0
Gelada_88,M,7/29/19,D1,937,536,1,2019,9/3/09,9.9,-0.2,0.04,Multiparous,Mid,0
Gelada_160,M,1/14/08,R,939,538,1,2008,2/5/94,9.94,-0.19,0.04,Multiparous,Mid,0
Gelada_205,M,10/14/15,G,944,543,0,2015,10/24/07,7.97,-0.71,0.51,Multiparous,Mid,0
Gelada_42,M,11/27/10,G,944,543,1,2010,7/18/01,9.36,-0.34,0.12,Multiparous,Mid,0
Gelada_25,F,2/1/09,M,949,548,1,2009,9/9/98,10.4,-0.07,0,Multiparous,Mid,1
Gelada_20,F,6/1/19,M1,954,553,1,2019,10/18/10,8.62,-0.54,0.29,Multiparous,Mid,0
Gelada_5,F,1/27/12,B1,963,562,1,2012,12/15/04,7.12,-0.94,0.88,Primiparous,Mid,1
Gelada_2,M,10/8/10,G,968,567,1,2010,7/23/02,8.21,-0.65,0.42,Multiparous,Mid,0
Gelada_303,M,1/1/07,H,971,570,1,2007,2/26/95,7.85,-0.74,0.55,Multiparous,Mid,1
Gelada_62,M,1/29/13,C3,973,572,1,2013,9/4/02,10.4,-0.07,0,Multiparous,Mid,0
Gelada_13,M,2/10/09,H1,973,572,1,2009,2/5/94,11.01,0.09,0.01,Multiparous,Mid,0
Gelada_78,F,10/14/20,K,974,573,0,2020,8/24/11,9.14,-0.4,0.16,Multiparous,Mid,0
Gelada_63,F,9/28/09,R,981,580,1,2009,4/3/01,8.49,-0.57,0.33,Multiparous,Mid,1
Gelada_56,M,3/12/09,H1,982,581,1,2009,2/5/94,11.1,0.12,0.01,Multiparous,Mid,0
Gelada_344,M,10/4/14,N,993,592,1,2014,6/1/05,9.34,-0.35,0.12,Multiparous,Mid,1
Gelada_38,M,9/10/14,M2,998,597,1,2014,10/1/05,8.94,-0.45,0.21,Multiparous,Mid,0
Gelada_37,M,2/3/09,M,1002,601,1,2009,8/25/97,11.44,0.21,0.04,Multiparous,Mid,1
Gelada_181,F,11/12/14,N,1012,611,1,2014,12/18/06,7.9,-0.73,0.53,Multiparous,Mid,1
Gelada_71,F,3/25/15,T,1019,618,1,2015,4/18/06,8.93,-0.46,0.21,Multiparous,Mid,1
Gelada_5,M,10/2/14,B1,1022,621,1,2014,12/15/04,9.8,-0.23,0.05,Multiparous,Mid,1
Gelada_122,M,10/4/11,D,1027,626,1,2011,2/16/01,10.63,-0.01,0,Multiparous,Mid,0
Gelada_141,M,8/16/20,C5,1033,632,0,2020,1/24/10,10.56,-0.03,0,Multiparous,Mid,0
Gelada_15,F,10/15/09,H1,1038,637,1,2009,2/5/94,11.69,0.27,0.07,Multiparous,Mid,0
Gelada_150,M,8/31/13,T,1038,637,1,2013,8/17/05,8.04,-0.69,0.48,Multiparous,Mid,0
Gelada_53,F,10/24/07,G,1049,648,1,2007,9/26/98,9.08,-0.42,0.17,Multiparous,Mid,1
Gelada_125,F,11/10/12,K,1049,648,1,2012,3/1/01,11.7,0.28,0.08,Multiparous,Mid,1
Gelada_31,F,10/27/16,C3,1060,659,1,2016,7/28/06,10.25,-0.11,0.01,Multiparous,Mid,0
Gelada_183,M,12/20/11,V,1060,659,1,2011,3/1/01,10.8,0.04,0,Multiparous,Mid,0
Gelada_144,F,6/24/13,D,1062,661,1,2013,1/27/03,10.41,-0.07,0,Multiparous,Mid,1
Gelada_12,M,1/1/10,C1,1068,667,1,2010,7/18/02,7.46,-0.85,0.71,Multiparous,Mid,1
Gelada_47,F,2/23/13,Q,1075,674,1,2013,1/1/04,9.15,-0.4,0.16,Multiparous,Mid,0
Gelada_3,M,12/13/08,N,1076,675,1,2008,9/1/99,9.28,-0.36,0.13,Multiparous,Mid,1
Gelada_103,F,7/7/09,R,1077,676,1,2009,2/5/94,11.42,0.2,0.04,Multiparous,Mid,1
Gelada_77,M,6/27/07,B,1099,698,1,2007,9/9/98,8.8,-0.49,0.24,Multiparous,Mid,1
Gelada_60,M,7/17/07,B,1110,709,1,2007,12/1/98,8.62,-0.54,0.29,Multiparous,Mid,1
Gelada_35,F,5/15/07,T,1119,718,0,2007,7/31/94,8.79,-0.49,0.24,Multiparous,Mid,1
Gelada_153,M,1/16/07,C,1124,723,1,2007,3/1/97,9.88,-0.21,0.04,Multiparous,Mid,1
Gelada_147,F,10/8/19,D1,1127,726,1,2019,10/18/09,9.97,-0.18,0.03,Multiparous,Mid,0
Gelada_22,F,8/5/19,D2,1136,735,1,2019,1/14/09,10.55,-0.03,0,Multiparous,Mid,0
Gelada_181,F,9/5/17,N,1146,745,1,2017,12/18/06,10.72,0.02,0,Multiparous,Mid,0
Gelada_65,M,4/11/13,T,1160,759,1,2013,10/1/03,9.53,-0.3,0.09,Multiparous,Mid,0
Gelada_234,M,12/4/06,H,1161,760,0,2006,2/27/94,8.77,-0.5,0.25,Multiparous,Mid,1
Gelada_118,M,9/1/15,T,1165,764,1,2015,5/15/07,8.3,-0.62,0.39,Multiparous,Mid,1
Gelada_36,F,1/28/13,C4,1169,768,1,2013,6/15/05,7.62,-0.8,0.65,Primiparous,Mid,1
Gelada_174,M,2/22/18,Z3,1179,778,0,2018,10/2/09,8.39,-0.6,0.36,Multiparous,Mid,0
Gelada_43,F,3/8/16,C3,1198,797,1,2016,2/20/09,7.04,-0.96,0.92,Primiparous,Mid,0
Gelada_176,M,11/19/09,J,1209,808,1,2009,5/1/01,8.55,-0.56,0.31,Multiparous,Mid,1
Gelada_8,F,10/5/10,M,1216,815,1,2010,11/4/02,7.92,-0.72,0.52,Multiparous,Mid,1
Gelada_231,M,5/11/12,J,1228,827,1,2012,7/1/03,8.86,-0.48,0.23,Multiparous,Mid,1
Gelada_143,M,7/13/14,T,1236,835,1,2014,6/18/07,7.07,-0.95,0.9,Multiparous,Mid,1
Gelada_101,M,3/29/08,T,1239,838,1,2008,6/16/94,9.79,-0.23,0.05,Multiparous,Mid,1
Gelada_40,M,5/23/07,G,1240,839,1,2007,6/1/96,10.97,0.08,0.01,Multiparous,Mid,1
Gelada_22,F,2/25/16,D,1241,840,1,2016,1/14/09,7.11,-0.94,0.88,Primiparous,Mid,1
Gelada_29,F,12/25/15,D,1272,871,1,2015,5/25/07,8.59,-0.55,0.3,Multiparous,Mid,1
Gelada_6,F,11/14/17,Z3,1279,878,0,2017,7/2/07,10.37,-0.08,0.01,Multiparous,Mid,0
Gelada_132,F,9/17/14,V,1285,884,1,2014,2/14/05,9.59,-0.28,0.08,Multiparous,Mid,1
Gelada_2,M,6/18/13,G,1293,892,1,2013,7/23/02,10.9,0.06,0,Multiparous,Mid,1
Gelada_216,F,3/1/06,H,1294,893,1,2006,2/5/94,8.07,-0.68,0.47,Multiparous,Mid,1
Gelada_213,M,9/29/10,B1,1308,907,1,2010,11/11/02,7.88,-0.73,0.54,Multiparous,Mid,1
Gelada_85,F,4/27/09,H2,1359,958,0,2009,2/5/94,11.22,0.15,0.02,Multiparous,Mid,0
Gelada_291,F,9/25/19,V,1359,958,0,2019,12/1/07,11.82,0.31,0.09,Multiparous,Mid,0
Gelada_290,F,1/3/07,H,1376,975,1,2007,2/5/94,8.91,-0.46,0.21,Multiparous,Mid,1
Gelada_121,M,2/23/08,L,1392,991,1,2008,2/5/94,10.05,-0.16,0.03,Multiparous,Mid,0
Gelada_48,F,10/9/14,V,1404,1003,1,2014,2/14/05,9.65,-0.27,0.07,Multiparous,Mid,1
Gelada_219,F,6/2/17,N,1444,1043,0,2017,9/1/05,11.75,0.29,0.08,Multiparous,Mid,0
Gelada_60,F,8/16/10,B,1474,1073,1,2010,12/1/98,11.71,0.28,0.08,Multiparous,Mid,1
Gelada_45,M,1/25/07,L,1488,1087,0,2007,3/13/95,7.87,-0.74,0.54,Multiparous,Mid,0
Gelada_17,F,7/12/07,M1,1530,1129,1,2007,6/6/93,10.1,-0.15,0.02,Multiparous,Mid,1
Gelada_115,M,3/4/17,Z3,1534,1133,0,2017,11/1/05,11.34,0.18,0.03,Multiparous,Mid,0
Gelada_291,M,6/21/15,V,1541,1140,1,2015,12/1/07,7.55,-0.82,0.68,Primiparous,Mid,1
Gelada_23,F,5/20/18,M1,1852,1451,0,2018,7/12/07,10.86,0.05,0,Multiparous,Mid,0
Gelada_168,F,10/27/16,Z3,402,1,1,2016,3/26/01,15.59,1.3,1.7,Multiparous,Old,0
Gelada_56,M,12/5/11,H1,407,6,0,2011,2/5/94,13.83,0.84,0.7,Multiparous,Old,0
Gelada_149,M,10/12/12,B1,418,17,0,2012,12/26/88,19.79,2.41,5.83,Multiparous,Old,0
Gelada_425,M,1/17/12,V,435,34,0,2012,4/17/94,13.75,0.82,0.67,Multiparous,Old,0
Gelada_13,F,10/27/11,H1,446,45,0,2011,2/5/94,13.72,0.81,0.65,Multiparous,Old,0
Gelada_216,M,10/24/11,H,449,48,0,2011,2/5/94,13.71,0.81,0.65,Multiparous,Old,0
Gelada_83,M,2/16/12,B1,460,59,0,2012,6/12/91,16.68,1.59,2.53,Multiparous,Old,0
Gelada_88,M,3/8/22,D1,464,63,0,2022,9/3/09,12.51,0.49,0.24,Multiparous,Old,0
Gelada_125,M,10/11/15,K,490,89,0,2015,3/1/01,14.61,1.04,1.09,Multiparous,Old,0
Gelada_24,F,9/2/14,M1,494,93,1,2014,1/1/98,16.67,1.59,2.52,Multiparous,Old,0
Gelada_86,M,10/16/06,A,497,96,0,2006,3/18/84,18.58,2.09,4.38,Multiparous,Old,0
Gelada_168,F,5/28/15,Z3,502,101,1,2015,3/26/01,14.17,0.93,0.86,Multiparous,Old,0
Gelada_62,F,10/15/15,C3,518,117,1,2015,9/4/02,13.11,0.65,0.42,Multiparous,Old,0
Gelada_136,M,3/31/07,Z,543,142,0,2007,2/5/89,14.15,0.92,0.85,Multiparous,Old,0
Gelada_229,F,11/14/12,O,548,147,0,2012,12/6/94,13.94,0.87,0.75,Multiparous,Old,0
Gelada_46,F,4/1/12,Z,567,166,1,2012,1/1/97,15.25,1.21,1.47,Multiparous,Old,0
Gelada_24,M,1/25/16,M1,577,176,1,2016,1/1/98,18.06,1.96,3.83,Multiparous,Old,0
Gelada_168,M,12/19/17,Z3,581,180,0,2017,3/26/01,16.73,1.6,2.58,Multiparous,Old,0
Gelada_2,M,10/3/19,G,591,190,0,2019,7/23/02,17.2,1.73,2.99,Multiparous,Old,0
Gelada_19,F,10/1/19,A,593,192,0,2019,11/3/03,15.91,1.39,1.93,Multiparous,Old,0
Gelada_50,F,10/26/10,R,594,193,1,2010,2/7/88,18.72,2.13,4.54,Multiparous,Old,1
Gelada_233,F,9/10/18,M1,594,193,0,2018,12/15/04,13.74,0.81,0.66,Multiparous,Old,0
Gelada_62,M,10/1/19,C3,594,193,0,2019,9/4/02,17.07,1.69,2.87,Multiparous,Old,0
Gelada_24,F,12/3/12,M1,622,221,1,2012,1/1/98,14.92,1.13,1.27,Multiparous,Old,0
Gelada_50,M,1/26/09,R,622,221,1,2009,2/7/88,16.97,1.67,2.78,Multiparous,Old,0
Gelada_68,F,8/24/11,K,623,222,0,2011,5/30/91,16.24,1.48,2.18,Multiparous,Old,0
Gelada_58,F,11/13/08,B,626,225,0,2008,8/22/88,16.23,1.47,2.17,Multiparous,Old,1
Gelada_83,F,5/12/10,B1,629,228,1,2010,6/12/91,14.92,1.13,1.27,Multiparous,Old,0
Gelada_8,F,11/22/15,M2,629,228,1,2015,11/4/02,13.05,0.63,0.4,Multiparous,Old,0
Gelada_65,M,8/26/19,T2,629,228,0,2019,10/1/03,15.9,1.39,1.92,Multiparous,Old,0
Gelada_66,M,1/8/09,Z,630,229,1,2009,6/7/91,13.59,0.77,0.6,Multiparous,Old,0
Gelada_130,F,9/11/21,M1,642,241,0,2021,2/1/09,12.61,0.52,0.27,Multiparous,Old,0
Gelada_70,M,11/13/09,T,657,256,1,2009,6/7/90,15.44,1.26,1.6,Multiparous,Old,0
Gelada_50,F,3/12/07,R,670,269,1,2007,2/7/88,15.09,1.17,1.37,Multiparous,Old,0
Gelada_148,M,9/10/07,Z,672,271,1,2007,6/7/88,15.26,1.22,1.48,Multiparous,Old,0
Gelada_215,M,7/19/07,C,697,296,0,2007,7/6/90,13.03,0.63,0.39,Multiparous,Old,0
Gelada_31,M,10/8/19,C3,704,303,1,2019,7/28/06,13.2,0.67,0.45,Multiparous,Old,0
Gelada_46,F,11/5/13,Z,706,305,1,2013,1/1/97,16.84,1.63,2.67,Multiparous,Old,1
Gelada_25,M,1/10/17,M1,709,308,0,2017,9/9/98,18.34,2.03,4.12,Multiparous,Old,0
Gelada_58,M,11/12/06,B,716,315,1,2006,8/22/88,14.22,0.94,0.89,Multiparous,Old,0
Gelada_66,F,10/16/10,Z,722,321,1,2010,6/7/91,15.36,1.24,1.54,Multiparous,Old,0
Gelada_248,F,4/12/07,G,738,337,0,2007,5/11/85,17.92,1.92,3.68,Multiparous,Old,0
Gelada_39,M,12/22/07,C,748,347,1,2007,7/24/88,15.41,1.26,1.58,Multiparous,Old,1
Gelada_77,M,10/26/12,B,753,352,0,2012,9/9/98,14.13,0.92,0.84,Multiparous,Old,0
Gelada_24,F,10/18/10,M,761,360,1,2010,1/1/98,12.79,0.56,0.32,Multiparous,Old,1
Gelada_176,F,11/3/15,J,763,362,0,2015,5/1/01,14.51,1.02,1.04,Multiparous,Old,0
Gelada_29,M,7/5/19,D1,806,405,1,2019,5/25/07,12.11,0.38,0.15,Multiparous,Old,0
Gelada_80,M,8/22/09,L,806,405,1,2009,1/4/96,13.63,0.79,0.62,Multiparous,Old,0
Gelada_70,F,8/18/13,T,810,409,1,2013,6/7/90,19.2,2.26,5.1,Multiparous,Old,0
Gelada_290,M,10/26/10,H1,812,411,0,2010,2/5/94,12.72,0.54,0.3,Multiparous,Old,0
Gelada_25,F,9/20/14,M1,827,426,1,2014,9/9/98,16.03,1.42,2.02,Multiparous,Old,0
Gelada_322,F,9/28/10,L,840,439,0,2010,2/5/94,12.64,0.52,0.27,Multiparous,Old,1
Gelada_149,M,5/11/10,B1,869,468,1,2010,12/26/88,17.37,1.77,3.15,Multiparous,Old,0
Gelada_7,F,7/20/17,A,872,471,1,2017,10/12/01,15.77,1.35,1.83,Multiparous,Old,0
Gelada_160,M,8/26/10,R,873,472,0,2010,2/5/94,12.55,0.5,0.25,Multiparous,Old,1
Gelada_70,M,6/7/07,T,874,473,1,2007,6/7/90,13,0.62,0.38,Multiparous,Old,0
Gelada_26,M,7/19/15,T,890,489,1,2015,6/4/02,13.12,0.65,0.42,Multiparous,Old,1
Gelada_183,F,11/30/14,V,893,492,0,2014,3/1/01,13.75,0.82,0.67,Multiparous,Old,1
Gelada_46,M,10/5/09,Z,893,492,1,2009,1/1/97,12.76,0.56,0.31,Multiparous,Old,0
Gelada_62,F,4/1/17,C3,897,496,1,2017,9/4/02,14.57,1.03,1.07,Multiparous,Old,0
Gelada_60,F,9/14/14,B,910,509,0,2014,12/1/98,15.79,1.36,1.84,Multiparous,Old,1
Gelada_19,M,3/15/17,A,914,513,1,2017,11/3/03,13.36,0.71,0.51,Multiparous,Old,0
Gelada_100,M,10/29/10,D,926,525,1,2010,5/1/97,13.49,0.75,0.56,Multiparous,Old,0
Gelada_257,M,9/14/06,D,929,528,1,2006,5/20/85,17.32,1.76,3.1,Multiparous,Old,1
Gelada_137,F,1/10/17,M2,932,531,1,2017,10/24/02,14.21,0.94,0.88,Multiparous,Old,0
Gelada_93,M,2/24/12,V,936,535,1,2012,2/1/99,13.06,0.63,0.4,Multiparous,Old,0
Gelada_179,F,12/25/13,V,938,537,0,2013,12/1/01,12.07,0.37,0.14,Multiparous,Old,0
Gelada_196,M,10/25/06,C,942,541,1,2006,5/25/89,13.42,0.73,0.53,Multiparous,Old,1
Gelada_261,M,9/30/10,C,959,558,1,2010,9/1/94,16.08,1.43,2.05,Multiparous,Old,1
Gelada_66,M,10/23/12,Z,963,562,1,2012,6/7/91,17.38,1.78,3.16,Multiparous,Old,1
Gelada_3,F,3/5/15,N,969,568,1,2015,9/1/99,15.51,1.28,1.64,Multiparous,Old,1
Gelada_76,M,10/16/20,V,972,571,0,2020,3/11/07,13.6,0.78,0.6,Multiparous,Old,0
Gelada_2,F,1/17/17,G,973,572,1,2017,7/23/02,14.49,1.01,1.03,Multiparous,Old,0
Gelada_99,F,9/5/11,B,984,583,1,2011,12/1/98,12.76,0.56,0.31,Multiparous,Old,1
Gelada_48,M,8/29/18,V,992,591,0,2018,2/14/05,13.54,0.76,0.58,Multiparous,Old,0
Gelada_40,M,10/30/10,G,1019,618,1,2010,6/1/96,14.41,0.99,0.98,Multiparous,Old,0
Gelada_37,M,3/23/14,M,1030,629,1,2014,8/25/97,16.57,1.56,2.44,Multiparous,Old,0
Gelada_100,M,5/28/13,D,1040,639,1,2013,5/1/97,16.07,1.43,2.05,Multiparous,Old,1
Gelada_122,F,7/29/19,D1,1057,656,0,2019,2/16/01,18.44,2.06,4.23,Multiparous,Old,0
Gelada_149,F,5/7/07,B,1084,683,1,2007,12/26/88,14.36,0.98,0.96,Multiparous,Old,1
Gelada_261,F,6/1/13,C,1103,702,0,2013,9/1/94,18.75,2.14,4.57,Multiparous,Old,1
Gelada_261,M,9/2/07,C,1108,707,1,2007,9/1/94,13,0.62,0.38,Multiparous,Old,1
Gelada_137,F,8/16/19,M2,1112,711,0,2019,10/24/02,16.81,1.63,2.64,Multiparous,Old,0
Gelada_231,M,10/7/15,J1,1125,724,1,2015,7/1/03,12.27,0.43,0.18,Multiparous,Old,0
Gelada_65,M,6/30/16,T,1136,735,1,2016,10/1/03,12.75,0.55,0.31,Multiparous,Old,1
Gelada_144,M,6/6/16,D,1143,742,0,2016,1/27/03,13.36,0.71,0.51,Multiparous,Old,1
Gelada_3,M,12/10/11,N,1165,764,1,2011,9/1/99,12.27,0.43,0.18,Multiparous,Old,0
Gelada_93,F,10/3/14,V,1174,773,1,2014,2/1/99,15.67,1.32,1.75,Multiparous,Old,1
Gelada_7,M,3/8/14,A,1214,813,1,2014,10/12/01,12.4,0.46,0.21,Multiparous,Old,1
Gelada_213,M,6/17/16,B5,1216,815,0,2016,11/11/02,13.6,0.78,0.6,Multiparous,Old,0
Gelada_40,M,8/30/13,G,1220,819,1,2013,6/1/96,17.25,1.74,3.04,Multiparous,Old,1
Gelada_122,M,3/5/16,D,1225,824,1,2016,2/16/01,15.05,1.16,1.35,Multiparous,Old,1
